The English (United States) version of this software update installs files that have the attributes that are listed in the following tables.,,,,,,,
,,,,,,,
Windows 8.1 and Windows Server 2012 R2,,,,,,,
Notes,,,,,,,
The MANIFEST files (.manifest) and MUM files (.mum) that are installed are not listed.,,,,,,,
,,,,,,,
Internet Explorer 11,,,,,,,
Internet Explorer 11 on all supported x86-based versions of Windows 8.1 and Windows Server 2012 R2,,,,,,,
File name,File version,File size,Date,Time,Platform,SP requirement,Service branch
Urlmon.dll.mui,11.0.9600.18378,"49,152",11-Jun-16,19:12,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"49,152",11-Jun-16,19:13,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"49,664",11-Jun-16,19:07,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"39,936",11-Jun-16,19:07,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"39,424",11-Jun-16,19:07,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"47,616",11-Jun-16,19:07,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"47,616",11-Jun-16,19:07,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"48,640",11-Jun-16,19:07,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"51,200",11-Jun-16,19:07,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"50,688",11-Jun-16,19:07,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"49,152",11-Jun-16,19:03,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"50,176",11-Jun-16,19:04,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"49,152",11-Jun-16,19:02,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"48,640",11-Jun-16,19:03,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"49,664",11-Jun-16,19:03,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"48,640",11-Jun-16,19:03,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18666,"49,664",16-Apr-17,9:45,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"48,640",11-Jun-16,19:03,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"48,128",11-Jun-16,19:04,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"49,152",11-Jun-16,19:04,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"48,128",11-Jun-16,19:05,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"35,328",11-Jun-16,19:04,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"35,328",11-Jun-16,20:23,Not applicable,None,Not applicable
Urlmon.dll.mui,11.0.9600.18378,"35,328",11-Jun-16,20:23,Not applicable,None,Not applicable
Jsproxy.dll,11.0.9600.17416,"47,104",31-Oct-14,3:16,x86,None,Not applicable
Wininet.dll,11.0.9600.18666,"2,767,872",16-Apr-17,6:37,x86,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"114,176",16-Apr-17,9:51,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"130,048",16-Apr-17,9:51,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"124,928",16-Apr-17,9:51,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"122,880",16-Apr-17,9:51,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"130,048",16-Apr-17,9:50,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"138,240",16-Apr-17,9:51,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"114,688",16-Apr-17,9:51,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"114,688",16-Apr-17,8:51,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"131,072",16-Apr-17,9:51,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"117,760",16-Apr-17,9:50,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"121,856",16-Apr-17,9:51,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"134,144",16-Apr-17,9:50,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"107,008",16-Apr-17,9:51,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"123,392",16-Apr-17,9:50,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"127,488",16-Apr-17,9:51,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"128,000",16-Apr-17,10:56,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"88,064",16-Apr-17,10:55,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"83,456",16-Apr-17,10:56,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"125,440",16-Apr-17,10:56,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"123,392",16-Apr-17,10:55,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"120,320",16-Apr-17,10:56,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"130,048",16-Apr-17,10:56,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"129,024",16-Apr-17,10:55,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"125,952",16-Apr-17,9:45,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"128,512",16-Apr-17,9:45,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"128,000",16-Apr-17,9:45,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"123,904",16-Apr-17,9:45,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"129,024",16-Apr-17,9:45,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"123,392",16-Apr-17,9:45,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"124,416",16-Apr-17,9:45,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"121,344",16-Apr-17,9:45,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"115,712",16-Apr-17,9:49,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"123,904",16-Apr-17,9:49,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"124,928",16-Apr-17,9:49,Not applicable,None,Not applicable
